time,ecg
0.0,-0.023094795372838515
0.002777777777777778,-0.015644648459746245
0.005555555555555556,0.019711544005924998
0.008333333333333333,-0.06587219566437932
0.011111111111111112,-0.03948383158860016
0.01388888888888889,-0.0173079173659956
0.016666666666666666,0.06387390353599741
0.019444444444444445,0.008312757967795618
0.022222222222222223,0.04035940562881728
0.025,0.04636048263456956
0.02777777777777778,0.010811205848099205
0.030555555555555558,-0.013649202698384617
0.03333333333333333,0.018152597861077688
0.036111111111111115,-0.003166572452698815
0.03888888888888889,0.05979021378070242
0.04166666666666667,0.009833457838469676
0.044444444444444446,0.06606969791531146
0.04722222222222222,0.04500301038967145
0.05,-0.029085738063805593
0.05277777777777778,0.01837930594102339
0.05555555555555556,-0.019077189811704073
0.058333333333333334,0.041294382390029076
0.061111111111111116,0.011020490846072827
0.0638888888888889,-0.015070609385172852
0.06666666666666667,-0.011674526534164117
0.06944444444444445,0.02701259825388444
0.07222222222222223,0.040736242770766824
0.075,-0.03552594580670163
0.07777777777777778,0.001013261685237062
0.08055555555555556,-0.06963737812891373
0.08333333333333334,0.06282327245696531
0.08611111111111111,-0.0006171567564731712
0.08888888888888889,0.010211708700089889
0.09166666666666667,0.00937075864157803
0.09444444444444444,0.020013198797430798
0.09722222222222222,-0.013989325751198985
0.1,0.039079208165576924
0.10277777777777779,0.03846999950494739
0.10555555555555556,0.10250179326981299
0.10833333333333334,0.09758836502666673
0.11111111111111112,0.09543132845902758
0.11388888888888889,0.10644831490577537
0.11666666666666667,0.08880982306952291
0.11944444444444445,0.10149702659376389
0.12222222222222223,0.15141460236308787
0.125,0.17797979334017527
0.1277777777777778,0.18295608914124117
0.13055555555555556,0.17486828073801441
0.13333333333333333,0.21677238127884624
0.13611111111111113,0.14799818681168253
0.1388888888888889,0.27586255979749763
0.14166666666666666,0.28053586844885026
0.14444444444444446,0.2136391564936737
0.14722222222222223,0.2197441393107757
0.15,0.25107619050615665
0.1527777777777778,0.2695703081029097
0.15555555555555556,0.2866531382853241
0.15833333333333333,0.37537368030386675
0.16111111111111112,0.31396013424362573
0.1638888888888889,0.36116032116162383
0.16666666666666669,0.3686235934382758
0.16944444444444445,0.32696570605684255
0.17222222222222222,0.31809759322064013
0.17500000000000002,0.3366388225633645
0.17777777777777778,0.33555778765622984
0.18055555555555555,0.31507488733067823
0.18333333333333335,0.3714648147124339
